Muskan Ladies Tailor & Bout..,+(91)-9866021096,4.8,3,"Shop No 9-4-132/11, Qutub Shahi Tombs Road, Toli Chowki, Hyderabad - 500008",
Sunithas Geetanjali Boutiqu..,+(91)-40-48504369,4.7,9,"3-6-10/2B,Plot No.262B, Beside HDFC Bank, Vivekananda Nagar-Kukatpally, Hyderabad - 500072, Behind Idlis",
Alankar Tailors,+(91)-9391243538,4.2,791,"Shop No 2-41/1, Sai Baba Temple Lane, Kondapur, Hyderabad - 500084, Near Saibaba Temple, Prashanth Nagar",
Taruni Clothing Pvt Ltd,+(91)-40-40025257,3.8,593,"Plot No 222, MIG 1, Main Road, Kukatpally, Hyderabad - 500072, Behind Kphb Bus Stop, Beside Rs Brothers",
Kashish,+(91)-40-65353123,3.9,384,"Main Road, Toli Chowki, Hyderabad - 500008, Beside Gehna Bridal Destination",
Priyankas Readymade Garment..,+(91)-40-66516299,3.6,333,"MIG 221, Road No 2, Kukatpally, Hyderabad - 500072, Phase 1, KPHB Colony",
Anagha Boutique,+(91)-40-42408226,3.9,276,"8-2-577  1st Floor, Road No 7, Imam Khomeini Road, Banjara Hills, Hyderabad - 500034, Beside Syndicate Bank",
Womans World,+(91)-9849119502,3.9,149,"Door No 3-6-430, Street No 4, Himayat Nagar, Hyderabad - 500029, Opposite Chutneys Restaurant",
Priva Collective,+(91)-9160560480,3.8,114,"8-2-65A, ROAD NO 12, Banjara Hills, Hyderabad - 500034, MLA Clolony,Near Acb,Anti Corruption Bureau",
Navaratan Matching Sagar,+(91)-040-24555000,4.4,113,"Shop No 16-2-703/1/A, Main Road, Malakpet, Hyderabad - 500036, Beside Chermas",
F-Studio,+(91)-9985906464,4.1,103,"Shop No 1, Nagarjuna Circle, Punjagutta, Hyderabad - 500082, Near Wills Lifestyle",
Sri Balaji Collections,+(91)-40-40211635,4.8,80,"Shop No 127, Padmavathi Plaza, Kukatpally, Hyderabad - 500072, Bhagyanagar Colony",
Vastra Boutique,+(91)-40-64643895,3.0,73,"Door No : 12-13-483/C/2,Ground Floor., Street No : 1,Keemti Colony., Tarnaka, Hyderabad - 500007, Beside Bank Of Baroda",
Aurelia,+(91)-040-42100092,3.9,67,"#3-6-365,Pavani Estate,Upper Ground Floor, Himayat Nagar, Himayat Nagar, Hyderabad - 500029, Beside Thirumala Tirupati Devastanam Temple",
Manish Ladies Tailors,+(91)-9989310939,4.2,63,"New Complex, 1st Floor, Badichowdi, Hyderabad - 500001, Beside Hari Masjid, Sultan Bazar",
Meena Bazar Extension,+(91)-40-24755164,4.1,60,"Shop No 31, Metro Estate, Tilak Road, Abids, Hyderabad - 500001, Hollywood Footwear Complex",
Om Simran Exclusive,+(91)-9949288884,3.9,55,"H.no:8-2-120/120/1/71, Road No. 10, Banjara Hills, Hyderabad - 500034, Behind Cancer Hospital",
Karachi House,+(91)-40-23555090,4.1,54,"Shop Number  8-2-120/120/1/4, Road No 10, Banjara Hills, Hyderabad - 500034, Opposite Income Tax Colony, Zehra Nagar",
Sri Fashions The Boutique,+(91)-9676028444,3.1,51,"House No 12-2-831/9/1, 1st Floor, Dorato Avenue, Amba Theater Road, Mehdipatnam, Hyderabad - 500028, Opposite Balaji Grand Bazar Opposite Sbh Bank",
Mahithas Boutique & Tailori..,+(91)-9705426607,3.8,49,"D.no.:1-90/2/G/23, Arunodaya Colony, Madhapur, Hyderabad - 500081, Beside NERA Residency",
Meena Bazar Extension,+(91)-040-66840104,3.9,47,"G2 Rexana Mall, Begumpet, Hyderabad - 500016, Opposite Life Style",
DFR Designers,+(91)-40-66803111,4.1,45,"Shop No 22-7-10/29, Madina Main Road, Pathar Gatti, Hyderabad - 500002, Beside Mir Alam Mandi Kaman",
